"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832561, SEN S/N: 9818218, LBL: Ambient)","RH, % (LGR S/N: 9832561, SEN S/N: 9818218)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833760, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832561, SEN S/N: -1)","DewPt, °C (LGR S/N: 9832561, SEN S/N: 9818218)"
24/11/16,16:42:22,12.001,71.700,0.2618,0.2966,12.316,7.1
24/11/16,17:42:23,9.903,71.300,0.2596,0.2952,11.856,5.0
24/11/16,18:42:24,9.485,71.000,0.2581,0.2937,11.419,4.5
24/11/16,19:42:25,7.469,77.900,0.2560,0.2923,10.345,3.9
24/11/16,20:42:26,5.591,83.200,0.2552,0.2915,9.287,3.0
24/11/16,21:42:27,4.947,90.500,0.2538,0.2901,8.792,3.5
24/11/16,22:42:28,4.402,93.000,0.2530,0.2894,8.369,3.4
24/11/16,23:42:29,4.115,93.900,0.2523,0.2886,8.095,3.2
25/11/16,00:42:30,2.930,91.600,0.2509,0.2886,7.695,1.7
25/11/16,01:42:31,2.690,91.100,0.2501,0.2872,7.192,1.4
25/11/16,02:42:32,1.967,91.000,0.2494,0.2865,6.560,0.7
25/11/16,03:42:33,1.859,89.900,0.2487,0.2857,6.306,0.4
25/11/16,04:42:34,1.126,87.400,0.2480,0.2850,5.924,-0.7
25/11/16,05:42:35,1.289,88.100,0.2472,0.2850,5.514,-0.5
25/11/16,06:42:36,1.099,88.700,0.2465,0.2843,5.154,-0.6
25/11/16,07:42:37,7.343,91.700,0.2472,0.2843,8.170,6.1
25/11/16,08:42:38,10.761,69.100,0.2472,0.2836,8.095,5.3
25/11/16,09:42:39,15.175,53.300,0.2465,0.2828,9.139,5.8
25/11/16,10:42:40,20.198,56.000,0.2465,0.2828,10.932,11.2
25/11/16,11:42:41,19.888,48.300,0.2451,0.2821,12.292,8.7
