"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
21-01-2013,09:21:03,0.0620
21-01-2013,10:21:04,0.0628
21-01-2013,11:21:05,0.0635
21-01-2013,12:21:06,0.0642
21-01-2013,13:21:07,0.0649
21-01-2013,14:21:08,0.0635
21-01-2013,15:21:09,0.0635
21-01-2013,16:21:10,0.0642
21-01-2013,17:21:11,0.0635
21-01-2013,18:21:12,0.0628
21-01-2013,19:21:13,0.0620
21-01-2013,20:21:14,0.0613
21-01-2013,21:21:15,0.0613
21-01-2013,22:21:16,0.0613
21-01-2013,23:21:17,0.0613
22-01-2013,00:21:18,0.0613
22-01-2013,01:21:19,0.0613
22-01-2013,02:21:20,0.0613
22-01-2013,03:21:21,0.0613
22-01-2013,04:21:22,0.0613
22-01-2013,05:21:23,0.0613
22-01-2013,06:21:24,0.0613
22-01-2013,07:21:25,0.0613
22-01-2013,08:21:26,0.0613
22-01-2013,09:21:27,0.0620
22-01-2013,10:21:28,0.0628
22-01-2013,11:21:29,0.0642
22-01-2013,12:21:30,0.0642
22-01-2013,13:21:31,0.0642
22-01-2013,14:21:32,0.0649
22-01-2013,15:21:33,0.0642
22-01-2013,16:21:34,0.0635
22-01-2013,17:21:35,0.0620
22-01-2013,18:21:36,0.0613
22-01-2013,19:21:37,0.0598
22-01-2013,20:21:38,0.0584
22-01-2013,21:21:39,0.0577
22-01-2013,22:21:40,0.0577
22-01-2013,23:21:41,0.0577
23-01-2013,00:21:42,0.0577
23-01-2013,01:21:43,0.0577
23-01-2013,02:21:44,0.0577
23-01-2013,03:21:45,0.0584
23-01-2013,04:21:46,0.0598
23-01-2013,05:21:47,0.0598
23-01-2013,06:21:48,0.0598
23-01-2013,07:21:49,0.0598
23-01-2013,08:21:50,0.0598
23-01-2013,09:21:51,0.0584
23-01-2013,10:21:52,0.0591
23-01-2013,11:21:53,0.0598
23-01-2013,12:21:54,0.0606
23-01-2013,13:21:55,0.0606
23-01-2013,14:21:56,0.0613
23-01-2013,15:21:57,0.0613
23-01-2013,16:21:58,0.0606
23-01-2013,17:21:59,0.0591
23-01-2013,18:22:00,0.0577
23-01-2013,19:22:01,0.0562
23-01-2013,20:22:02,0.0555
23-01-2013,21:22:03,0.0555
23-01-2013,22:22:04,0.0555
23-01-2013,23:22:05,0.0555
24-01-2013,00:22:06,0.0555
24-01-2013,01:22:07,0.0548
24-01-2013,02:22:08,0.0548
24-01-2013,03:22:09,0.0548
24-01-2013,04:22:10,0.0548
24-01-2013,05:22:11,0.0555
24-01-2013,06:22:12,0.0555
24-01-2013,07:22:13,0.0555
24-01-2013,08:22:14,0.0555
24-01-2013,09:22:15,0.0562
24-01-2013,10:22:16,0.0569
