SITE,REP,DATE,HOUR,TEMP,
PRO1,1,20/11/11,3,9.926,
PRO1,1,20/11/11,4,10.177,
PRO1,1,20/11/11,5,10.239,
PRO1,1,20/11/11,6,10.365,
PRO1,1,20/11/11,7,10.302,
PRO1,1,20/11/11,8,9.988,
PRO1,1,20/11/11,9,9.675,
PRO1,1,20/11/11,10,8.984,
PRO1,1,20/11/11,11,10.428,
PRO1,1,20/11/11,12,14.19,
PRO1,1,20/11/11,13,12.435,
PRO1,1,20/11/11,14,14.441,
PRO1,1,20/11/11,15,12.184,
PRO1,1,20/11/11,16,15.443,
PRO1,1,20/11/11,17,14.942,
PRO1,1,20/11/11,18,13.939,
PRO1,1,20/11/11,19,7.101,
PRO1,1,20/11/11,20,4.086,
PRO1,1,20/11/11,21,3.206,
PRO1,1,20/11/11,22,2.389,
PRO1,1,20/11/11,23,2.514,
PRO1,1,21/11/11,0,1.32,
PRO1,1,21/11/11,1,1.32,
PRO1,1,21/11/11,2,1.697,
PRO1,1,21/11/11,3,1.257,
PRO1,1,21/11/11,4,1.194,
PRO1,1,21/11/11,5,0.691,
PRO1,1,21/11/11,6,0.565,
PRO1,1,21/11/11,7,4.211,
PRO1,1,21/11/11,8,13.438,
PRO1,1,21/11/11,9,15.631,
PRO1,1,21/11/11,10,15.005,
PRO1,1,21/11/11,11,15.443,
PRO1,1,21/11/11,12,16.258,
PRO1,1,21/11/11,13,17.26,
PRO1,1,21/11/11,14,18.888,
PRO1,1,21/11/11,15,19.389,
PRO1,1,21/11/11,16,21.391,
PRO1,1,21/11/11,17,18.951,
PRO1,1,21/11/11,18,15.569,
PRO1,1,21/11/11,19,13.501,
PRO1,1,21/11/11,20,5.28,
PRO1,1,21/11/11,21,2.766,
PRO1,1,21/11/11,22,3.269,
PRO1,1,21/11/11,23,3.394,
PRO1,1,22/11/11,0,3.457,
PRO1,1,22/11/11,1,3.457,
PRO1,1,22/11/11,2,3.834,
PRO1,1,22/11/11,3,3.772,
PRO1,1,22/11/11,4,2.514,
PRO1,1,22/11/11,5,3.017,
PRO1,1,22/11/11,6,3.269,
PRO1,1,22/11/11,7,5.531,
PRO1,1,22/11/11,8,8.419,
PRO1,1,22/11/11,9,9.737,
PRO1,1,22/11/11,10,11.619,
PRO1,1,22/11/11,11,12.748,
PRO1,1,22/11/11,12,13.25,
PRO1,1,22/11/11,13,15.694,
PRO1,1,22/11/11,14,15.945,
PRO1,1,22/11/11,15,14.378,
PRO1,1,22/11/11,16,11.18,
PRO1,1,22/11/11,17,10.365,
PRO1,1,22/11/11,18,8.357,
PRO1,1,22/11/11,19,7.038,
PRO1,1,22/11/11,20,5.594,
PRO1,1,22/11/11,21,5.28,
PRO1,1,22/11/11,22,3.834,
PRO1,1,22/11/11,23,3.08,
PRO1,1,23/11/11,0,3.08,
PRO1,1,23/11/11,1,1.697,
PRO1,1,23/11/11,2,-1.385,
PRO1,1,23/11/11,3,0.88,
PRO1,1,23/11/11,4,3.394,
PRO1,1,23/11/11,5,2.137,
PRO1,1,23/11/11,6,2.011,
PRO1,1,23/11/11,7,4.211,
PRO1,1,23/11/11,8,5.531,
PRO1,1,23/11/11,9,7.917,
PRO1,1,23/11/11,10,8.671,
PRO1,1,23/11/11,11,10.49,
PRO1,1,23/11/11,12,15.005,
PRO1,1,23/11/11,13,19.639,
PRO1,1,23/11/11,14,20.265,
PRO1,1,23/11/11,15,21.078,
PRO1,1,23/11/11,16,18.951,
PRO1,1,23/11/11,17,20.453,
PRO1,1,23/11/11,18,17.698,
PRO1,1,23/11/11,19,10.428,
PRO1,1,23/11/11,20,2.64,
PRO1,1,23/11/11,21,3.332,
PRO1,1,23/11/11,22,2.954,
PRO1,1,23/11/11,23,2.263,
PRO1,1,24/11/11,0,1.257,
PRO1,1,24/11/11,1,1.634,
PRO1,1,24/11/11,2,0.88,
PRO1,1,24/11/11,3,1.131,
PRO1,1,24/11/11,4,-2.455,
PRO1,1,24/11/11,5,-5.73,
PRO1,1,24/11/11,6,-4.659,
PRO1,1,24/11/11,7,1.32,
PRO1,1,24/11/11,8,10.804,
PRO1,1,24/11/11,9,17.573,
PRO1,1,24/11/11,10,19.889,
PRO1,1,24/11/11,11,21.641,
PRO1,1,24/11/11,12,23.518,
PRO1,1,24/11/11,13,24.268,
PRO1,1,24/11/11,14,25.705,
PRO1,1,24/11/11,15,26.955,
PRO1,1,24/11/11,16,28.391,
PRO1,1,24/11/11,17,27.142,
PRO1,1,24/11/11,18,17.698,
PRO1,1,24/11/11,19,11.557,
PRO1,1,24/11/11,20,7.917,
PRO1,1,24/11/11,21,6.536,
PRO1,1,24/11/11,22,5.657,
PRO1,1,24/11/11,23,3.017,
PRO1,1,25/11/11,0,4.84,
